SMILES,HOMO,LUMO,S1,T1
c1ccc(-n2c3ccccc3c3c(-c4cc(-c5c6ccccc6c(-c6cccc7c6c6ccccc6n7-c6ccccc6)c6ccccc56)cc5ccccc45)cccc32)cc1,-5.062966346740723,-1.7260366678237915,3.100670576095581,1.6492000818252563
c1ccc(-n2c3ccccc3c3cc(-c4cc(-c5c6ccccc6c(-c6cccc7c6c6ccccc6n7-c6ccccc6)c6ccccc56)cc5ccccc45)ccc32)cc1,-5.065425395965576,-1.760817050933838,3.1152210235595703,1.6584490537643433
c1ccc(-n2c3ccccc3c3c(-c4c5ccccc5c(-c5cc6ccccc6cc5-c5cccc6c7ccccc7n(-c7ccccc7)c56)c5ccccc45)cccc32)cc1,-5.018351078033447,-1.780604362487793,3.0427234172821045,1.630191445350647
c1ccc(-n2c3ccccc3c3cc(-c4c5ccccc5c(-c5ccc6c(-c7ccc8c9ccccc9n(-c9ccccc9)c8c7)cccc6c5)c5ccccc45)ccc32)cc1,-5.053832530975342,-1.7521001100540161,3.121567964553833,1.6740351915359497
c1ccc(-n2c3ccccc3c3cc(-c4c5ccccc5c(-c5ccc6c(-c7cccc8c9ccccc9n(-c9ccccc9)c78)cccc6c5)c5ccccc45)ccc32)cc1,-5.057082176208496,-1.7308309078216553,3.1243224143981934,1.672844409942627
c1ccc(-n2c3ccccc3c3cc(-c4c5ccccc5c(-c5ccc6c(-c7ccccc7-n7c8ccccc8c8ccccc87)cccc6c5)c5ccccc45)ccc32)cc1,-5.073812961578369,-1.7494850158691406,3.105161428451538,1.6628459692001343
c1ccc(-n2c3ccccc3c3cc(-c4c5ccccc5c(-c5ccc6c(-c7cccc(-n8c9ccccc9c9ccccc98)c7)cccc6c5)c5ccccc45)ccc32)cc1,-5.114146709442139,-1.773020625114441,3.133363962173462,1.6820100545883179
c1ccc(-n2c3ccccc3c3cc(-c4c5ccccc5c(-c5ccc6c(-c7ccc(-n8c9ccccc9c9ccccc98)cc7)cccc6c5)c5ccccc45)ccc32)cc1,-5.103673458099365,-1.801350474357605,3.119891405105591,1.6747777462005615
c1ccc(-n2c3ccccc3c3cc(-c4c5ccccc5c(-c5ccc(-c6cccc7c6c6ccccc6n7-c6ccccc6)c6ccccc56)c5ccccc45)ccc32)cc1,-5.035740375518799,-1.7265596389770508,3.108574390411377,1.6631901264190674
c1ccc(-n2c3ccccc3c3cc(-c4ccc(-c5c6ccccc6c(-c6ccc7c(c6)c6ccccc6n7-c6ccccc6)c6ccccc56)c5ccccc45)ccc32)cc1,-5.043030261993408,-1.7486133575439453,3.107257127761841,1.671270489692688
c1ccc(-n2c3ccccc3c3cc(-c4c5ccccc5c(-c5ccc(-c6ccc7c8ccccc8n(-c8ccccc8)c7c6)c6ccccc56)c5ccccc45)ccc32)cc1,-5.047421455383301,-1.7419013977050781,3.1143229007720947,1.6699519157409668
c1ccc(-n2c3ccccc3c3cc(-c4c5ccccc5c(-c5ccc(-c6cccc7c8ccccc8n(-c8ccccc8)c67)c6ccccc56)c5ccccc45)ccc32)cc1,-5.078950881958008,-1.7196732759475708,3.119412422180176,1.674185037612915
c1ccc(-n2c3ccccc3c3cc(-c4c5ccccc5c(-c5ccc(-c6ccccc6-n6c7ccccc7c7ccccc76)c6ccccc56)c5ccccc45)ccc32)cc1,-5.110172748565674,-1.7384146451950073,3.100191593170166,1.6669596433639526
c1ccc(-n2c3ccccc3c3c(-c4c5ccccc5c(-c5cc6ccccc6cc5-c5ccccc5-n5c6ccccc6c6ccccc65)c5ccccc45)cccc32)cc1,-5.133050918579102,-1.8204405307769775,3.0318479537963867,1.635876178741455
c1ccc(-n2c3ccccc3c3cc(-c4c5ccccc5c(-c5ccc(-c6cccc(-n7c8ccccc8c8ccccc87)c6)c6ccccc56)c5ccccc45)ccc32)cc1,-5.123939037322998,-1.7576789855957031,3.131268262863159,1.6792092323303223
c1ccc(-n2c3ccccc3c3cc(-c4c5ccccc5c(-c5ccc(-c6ccc(-n7c8ccccc8c8ccccc87)cc6)c6ccccc56)c5ccccc45)ccc32)cc1,-5.130613803863525,-1.7872291803359985,3.1180951595306396,1.6753588914871216
c1ccc(-n2c3ccccc3c3cc(-c4c5ccccc5c(-c5cc(-c6cccc7c6c6ccccc6n7-c6ccccc6)cc6ccccc56)c5ccccc45)ccc32)cc1,-5.070827007293701,-1.7216781377792358,3.1261188983917236,1.673080325126648
c1ccc(-n2c3ccccc3c3cc(-c4cc(-c5c6ccccc6c(-c6ccc7c(c6)c6ccccc6n7-c6ccccc6)c6ccccc56)c5ccccc5c4)ccc32)cc1,-5.051373481750488,-1.73396897315979,3.1307294368743896,1.6748827695846558
