SMILES,HOMO,LUMO,S1,T1
C1=CN(c2ccc3ccccc3c2)c2cccc3c2B1C=CN3c1oc2ccccc2c1-c1ccc2oc3ccccc3c2c1,-5.0815534591674805,-1.6888288259506226,3.309065818786621,3.309788942337036
C1=CN(c2ccc3ccccc3c2)c2cccc3c2B1C=CN3c1oc2ccccc2c1-c1ccc2c(c1)oc1ccccc12,-5.117593765258789,-1.7761437892913818,3.321046829223633,3.327806234359741
C1=CN(c2ccc3ccccc3c2)c2cccc3c2B1C=CN3c1c(-c2ccc3oc4ccccc4c3c2)oc2ccccc12,-4.9470343589782715,-1.520265817642212,3.304041624069214,3.3003644943237305
C1=CN(c2ccc3ccccc3c2)c2cccc3c2B1C=CN3c1c(-c2ccc3c(c2)oc2ccccc23)oc2ccccc12,-5.02618932723999,-1.9480345249176025,3.179124355316162,3.165372371673584
C1=CN(c2oc3ccccc3c2-c2ccc3oc4ccccc4c3c2)c2cccc3c2B1C=CN3c1cccc2ccccc12,-5.063501834869385,-1.636897087097168,3.2961461544036865,3.2993664741516113
C1=CN(c2oc3ccccc3c2-c2ccc3c(c2)oc2ccccc23)c2cccc3c2B1C=CN3c1cccc2ccccc12,-5.098714351654053,-1.7860139608383179,3.3092315196990967,3.31555438041687
C1=CN(c2cccc3ccccc23)c2cccc3c2B1C=CN3c1c(-c2ccc3oc4ccccc4c3c2)oc2ccccc12,-5.003429412841797,-1.6662360429763794,3.222907543182373,3.216088056564331
C1=CN(c2cccc3ccccc23)c2cccc3c2B1C=CN3c1c(-c2ccc3c(c2)oc2ccccc23)oc2ccccc12,-5.037771701812744,-1.9630662202835083,3.2056329250335693,3.1958634853363037
