SMILES,HOMO,LUMO,S1,T1
C1=C(c2ccc3ccsc3c2)B2c3cc4c(-c5cccc6sc7ccccc7c56)c(-c5ccc6oc7ccccc7c6c5)oc4cc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.983572483062744,-1.820048213005066,2.6426620483398438,1.7256124019622803
C1=C(c2ccc3ccsc3c2)B2c3cc4c(-c5ccc6sc7ccccc7c6c5)c(-c5ccc6oc7ccccc7c6c5)oc4cc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.989983558654785,-1.762473225593567,2.694157361984253,1.7721569538116455
C1=C(c2ccc3sccc3c2)Nc2c3c(cc4ccc5ccccc5c24)Nc2c4c(-c5cccc6sc7ccccc7c56)c(-c5ccc6oc7ccccc7c6c5)oc4ccc=2B13,-5.006494998931885,-1.8436164855957031,2.570568799972534,1.7757099866867065
C1=C(c2cccc3ccsc23)B2c3cc4c(-c5cccc6sc7ccccc7c56)c(-c5cccc6oc7ccccc7c56)oc4cc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.971452713012695,-1.8088905811309814,2.6481709480285645,1.765539526939392
C1=C(c2cccc3ccsc23)B2c3cc4c(-c5ccc6sc7ccccc7c6c5)c(-c5cccc6oc7ccccc7c56)oc4cc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.976370811462402,-1.7909338474273682,2.69631290435791,1.782016634941101
C1=C(c2cccc3ccsc23)B2c3cc4c(-c5cccc6sc7ccccc7c56)c(-c5ccc6oc7ccccc7c6c5)oc4cc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.993408679962158,-1.8041834831237793,2.644578218460083,1.717018485069275
C1=C(c2cccc3ccsc23)B2c3cc4c(-c5ccc6sc7ccccc7c6c5)c(-c5ccc6oc7ccccc7c6c5)oc4cc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.973911762237549,-1.7564585208892822,2.671403646469116,1.7512829303741455
C1=C(c2cccc3sccc23)B2c3c4oc(-c5cccc6oc7ccccc7c56)c(-c5cccc6sc7ccccc7c56)c4ccc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.94896936416626,-1.802614450454712,2.6088907718658447,1.8289165496826172
C1=C(c2cccc3sccc23)B2c3c4oc(-c5cccc6oc7ccccc7c56)c(-c5ccc6sc7ccccc7c6c5)c4ccc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.9785661697387695,-1.8139463663101196,2.627333164215088,1.77846360206604
C1=C(c2cccc3sccc23)B2c3c4oc(-c5ccc6oc7ccccc7c6c5)c(-c5cccc6sc7ccccc7c56)c4ccc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.999468803405762,-1.804009199142456,2.611285924911499,1.824386477470398
C1=C(c2cccc3sccc23)B2c3c4oc(-c5ccc6oc7ccccc7c6c5)c(-c5ccc6sc7ccccc7c6c5)c4ccc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.997272968292236,-1.8000866174697876,2.6414644718170166,1.7566125392913818
C1=C(c2ccc3sccc3c2)B2c3c4oc(-c5cccc6oc7ccccc7c56)c(-c5cccc6sc7ccccc7c56)c4ccc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.9702229499816895,-1.8184791803359985,2.6148786544799805,1.820833444595337
C1=C(c2ccc3sccc3c2)B2c3c4oc(-c5cccc6oc7ccccc7c56)c(-c5ccc6sc7ccccc7c6c5)c4ccc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.971628189086914,-1.7972536087036133,2.6678109169006348,1.7819278240203857
C1=C(c2ccc3sccc3c2)Nc2c3c(cc4ccc5ccccc5c24)Nc2c4c(-c5ccc6sc7ccccc7c6c5)c(-c5ccc6oc7ccccc7c6c5)oc4ccc=2B13,-5.005704402923584,-1.8008711338043213,2.602663516998291,1.812483787536621
C1=C(c2ccc3sccc3c2)B2c3c4oc(-c5ccc6oc7ccccc7c6c5)c(-c5cccc6sc7ccccc7c56)c4ccc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-5.030470848083496,-1.7724976539611816,2.6831398010253906,1.832380771636963
C1=C(c2ccc3sccc3c2)B2c3c4oc(-c5ccc6oc7ccccc7c6c5)c(-c5ccc6sc7ccccc7c6c5)c4ccc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.962845802307129,-1.7775969505310059,2.6637392044067383,1.761142611503601
C1=C(c2ccc3ccsc3c2)B2c3c4oc(-c5cccc6oc7ccccc7c56)c(-c5cccc6sc7ccccc7c56)c4ccc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.930350303649902,-1.8211596012115479,2.6148786544799805,1.8212776184082031
C1=C(c2ccc3ccsc3c2)B2c3c4oc(-c5cccc6oc7ccccc7c56)c(-c5ccc6sc7ccccc7c6c5)c4ccc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.950198650360107,-1.8020914793014526,2.6558353900909424,1.7770423889160156
C1=C(c2ccc3ccsc3c2)B2c3c4oc(-c5ccc6oc7ccccc7c6c5)c(-c5cccc6sc7ccccc7c56)c4ccc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.98392391204834,-1.7812144756317139,2.6730802059173584,1.8155927658081055
C1=C(c2ccc3ccsc3c2)B2c3c4oc(-c5ccc6oc7ccccc7c6c5)c(-c5ccc6sc7ccccc7c6c5)c4ccc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.969344615936279,-1.7831758260726929,2.653919219970703,1.750705599784851
C1=C(c2cccc3ccsc23)B2c3c4oc(-c5cccc6oc7ccccc7c56)c(-c5cccc6sc7ccccc7c56)c4ccc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.96565580368042,-1.8203532695770264,2.6136810779571533,1.796850562095642
C1=C(c2cccc3ccsc23)B2c3c4oc(-c5cccc6oc7ccccc7c56)c(-c5ccc6sc7ccccc7c6c5)c4ccc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.963548183441162,-1.8028323650360107,2.653200626373291,1.7646068334579468
C1=C(c2cccc3ccsc23)B2c3c4oc(-c5ccc6oc7ccccc7c6c5)c(-c5cccc6sc7ccccc7c56)c4ccc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-5.0162434577941895,-1.7892776727676392,2.6591885089874268,1.7786412239074707
C1=C(c2cccc3ccsc23)B2c3c4oc(-c5ccc6oc7ccccc7c6c5)c(-c5ccc6sc7ccccc7c6c5)c4ccc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-5.007636547088623,-1.7968612909317017,2.646254777908325,1.7443546056747437
C1=C(c2ccc3ccsc3c2)Nc2c3c(cc4ccc5ccccc5c24)Nc2c4c(-c5cccc6sc7ccccc7c56)c(-c5cccc6oc7ccccc7c56)oc4ccc=2B13,-5.013608455657959,-1.952239751815796,2.543264389038086,1.8164809942245483
