SMILES,HOMO,LUMO,S1,T1
c12c(cc3c(c1c1c4c(c(c5c1cccc5)c1c5c(ccc1)cccc5)cccc4)oc1c3cccc1)oc1c2cccc1,-5.32934045791626,-1.7902801036834717,3.1523454189300537,1.6790955066680908
c1cc2c(cc1)c(c1c(c2c2cc3c(c4c2cc(cc4)c2c4c(ccc2)cccc4)ccc(c3)c2cccc3c2cccc3)cccc1)c1c2c(c3c(c1)cc(cc3)c1c3c(ccc1)cccc3)ccc(c2)c1cccc2c1cccc2,-5.053920269012451,-2.0018389225006104,3.0685458183288574,1.657105565071106
c12c(cc3c(c1c1c4c(c(c5c1cccc5)c1c5c(ccc1)cccc5)cccc4)oc1c3cc3c(c1)cccc3)oc1c2cc2c(c1)cccc2,-5.302905082702637,-1.8464713096618652,3.080132246017456,1.675272822380066
c12cccc(c1c(ccc2)c1c2c(c(c3c1cccc3)c1ccc3c(c1)cccc3)cccc2)c1c2c(cccc2)c(c2c1cccc2)c1cccc2c1cccc2,-4.784560203552246,-1.9392952919006348,2.7087676525115967,1.588154673576355
c1(ccc2c(c1)cc(cc2c1c2ccccc2c(c2c1cccc2)c1c2ccc(cc2cc(c1)c1c2c(ccc1)cccc2)c1cccc2c1cccc2)c1c2c(ccc1)cccc2)c1cccc2c1cccc2,-5.225618839263916,-1.8490864038467407,3.147555112838745,1.6950784921646118
c12ccccc1c(c1c(c2c2c3c4c5c(c2)oc2c5c(c5c6c4c(cc3)oc6ccc5)ccc2)cccc1)c1ccccc1,-5.306066989898682,-1.7480031251907349,3.0616300106048584,1.6797006130218506
c1(ccc2c(c1)cc(cc2c1c2ccccc2c(c2c1cccc2)c1c2c(ccc1)cccc2)c1c2c(ccc1)cccc2)c1cccc2c1cccc2,-5.2621541023254395,-1.775025486946106,3.138573408126831,1.6681476831436157
c1cc2c(cc1)c(c1c(c2c2cc(n3c4c(c5c3ccc(c5)c3ccc5c(c3)cccc5)cc(cc4)c3cc4c(cc3)cccc4)ccc2)cccc1)c1ccc(cc1)c1cccc2c1cccc2,-5.155163764953613,-2.133028030395508,3.0087499618530273,1.6694717407226562
c1c2c(ccc1)c(c1c(c2c2cccc3c2cccc3)cccc1)c1cc2c3cccc4c3c(ccc4)c2cc1,-5.20994234085083,-1.9565110206604004,2.7975072860717773,1.63234543800354
c1cc2c(cc1)c(c1c(c2c2cccc(c3cc4c5c(n(c4cc3)c3ccc4c(c3)cccc4)ccc(c5)c3ccc4c(c3)cccc4)c2)cccc1)c1ccc(cc1)c1cccc2c1cccc2,-5.076755046844482,-1.9874560832977295,3.1304898262023926,1.6634232997894287
c1c2c(ccc1)c(c1c(c2c2ccc(cc2)c2cc3c(cc2)cccc3)cccc1)c1cc2c(cc1)cc(cc2)c1cc(cc(c1)c1cc2c(cc1)cccc2)c1ccc2c(c1)cccc2,-5.085054397583008,-1.9733346700668335,3.105760097503662,1.6424493789672852
c1c2c(ccc1)c1c(cc2c2ccc(c3cc(cc(c3)c3c4c(ccc3)cccc4)c3c4c(ccc3)cccc4)cc2)c2c(c(c1)c1ccc(c3cc(cc(c3)c3c4c(ccc3)cccc4)c3c4c(ccc3)cccc4)cc1)cccc2,-5.064810752868652,-2.0112531185150146,3.078455686569214,1.7096459865570068
c1cc2c(cc1)c1c(cc2c2ccc(c3c2cccc3c2cccc3c2cccc3)c2c3c(ccc2)cccc3)c2c(c3c1ccc(c3)c1ccccc1)cccc2,-5.241427421569824,-1.8099802732467651,3.113664150238037,1.7586110830307007
c1cc(c2c(c1c1cccc3c1cccc3)cccc2c1c2ccccc2c(c2c1cccc2)c1c2c(ccc(c2ccc1)c1cccc2c1cccc2)c1c2c(ccc1)cccc2)c1c2c(ccc1)cccc2,-4.918406009674072,-1.7751127481460571,2.8167879581451416,1.5552446842193604
c1cc(c2c(c1c1cccc3c1cccc3)cccc2c1cccc2c1cccc2)c1c2ccccc2c(c2c1cccc2)c1c2c(ccc1)cccc2,-5.145434379577637,-1.7235087156295776,3.024467945098877,1.6374751329421997
c1c2c(ccc1)c1c(cc2)c2c(c3c1ccc(c3)c1ccc(cc1)c1c3c(ccc1)cccc3)cccc2,-5.294474124908447,-1.8645507097244263,3.1316275596618652,1.8374438285827637
