SMILES,HOMO,LUMO,S1,T1
C1=CC=C(C=C1)C1=CC=C2C(=C1)B1C3=CC(=CC=C3OC3=C1C(O2)=CC=C3)C1C=CC=CC=1,-5.766963481903076,-2.0116021633148193,3.647184371948242,3.6360979080200195
CC(C1C=CC=C(C=1)N1C(=NC2C1=CC1N(C3C=C(C=C4C=3B(C=1C=2)C1SC2=C(C=1N4C1C=CC=C(C=1)C(C)(C)C)C=CC=C2)N1C2=CC=CC=C2C2=C1C=CC=C2)C1=CC=CC2=C1C1C=CC=CC=1C1C2=CC=CC=1)C1C=CC2=C(C=1)C=CC=C2)(C)C,-4.9102463722229,-1.6924508810043335,3.204418420791626,3.2016429901123047
CC(C1C=CC(=CC=1)N(C1C=CC2=C(C=1)B1C3C(N2C2C=CC(=CC=2)C(C)(C)C)=CC=CC=3N(C2C1=C1OC3C(C1=CC=2)=CC=CC=3)C1C=CC(=CC=1)C(C)(C)C)C1=CC=C(C=C1)C(C)(C)C)(C)C,-4.689033031463623,-1.4905647039413452,3.3134827613830566,3.3067398071289062
C1CC2=C(C1)C(=CC=C2)N1C2C=CC=C3C=2B(C2=C1C1=CC=CC4=C1C(=C2)CC4)C1=CC2CCC4C=2C(=C1N3C1=CC=CC2=C1CCC2)C=CC=4,-4.709407806396484,-1.403815746307373,3.0624887943267822,3.0613150596618652
CC1=CC2B(O)C3C=C(C)C=C4C=3N3C=2C(=C1)B1C2=CC(C)=CC=C2N2C5=C1C3=C1B4C3C=C(C)C=CC=3N3C1=C5B(C1=C2C=CC=C1)C1C3=CC=C(C=1)C,-5.6298370361328125,-2.1814780235290527,3.3633944988250732,3.3450474739074707
CC(C1C=CC(=CC=1)N(C1=CSC2C1=CC(=CC=2)C(C)(C)C)C1C=C2C3=C(C=1)N1C4C(B3C3C5N2C2CCCCC=2C=5C=CC=3)=CC=CC=4C2=C1CCCC2)(C)C,-5.253062725067139,-1.9196916818618774,3.075850248336792,3.0786118507385254
CC(C1C=CC(=CC=1)N1C2=CC(=CC=C2B2C3=C1C=CC=C3N(C1=C2C=C(C=C1)C(C)(C)C)C1=CC=C(C=C1)C(C)(C)C)N(C1=CC=C2C(=C1)C1=CC=CC=C1O2)C1C=CC(=CC=1)C(C)(C)C)(C)C,-4.82939338684082,-1.4601391553878784,3.311274290084839,3.3000872135162354
C1=CC=C2C(=C1)N1C3=CC(=CC=C3B3C4=C1C2=CC1=C4N(C2=C1C=CC=C2)C1=C3C=CC(=C1)N1C2C=CC=CC=2C2C1=CC=CC=2)N1C2=CC=CC=C2C2=C1C=CC=C2,-5.697106838226318,-2.35244083404541,3.2663040161132812,3.2802958488464355
CC1C=CC2=C(C=1)C1=C(S2)B2C3C=CC(=CC=3N(C3=C2C(N1C1=CC=CC(=C1)C(C)(C)C)=CC(=C3)N(C1C=CC=CC=1)C1=CC=CC=C1)C1C=CC2=C(C=1)OC1=C2C=CC=C1)N(C1C=CC=CC=1)C1C=CC=CC=1,-4.827291488647461,-1.4315247535705566,3.444666624069214,3.4427297115325928
C1C=CC(=CC=1)N(C1=CC=C2C(=C1)N1C3=C4B2C2SC5=C(C=2N2C4=C(C=C3C3C1=CC=CC=3)C1C2=CC=CC=1)C=CC=C5)C1=CC=CC=C1,-5.357362747192383,-2.067563533782959,3.351027011871338,3.3572440147399902
CC1=CC=C(C=C1)N1C2=CC(C)=CC=C2B2C3C1=CC(C)=CC=3N(C1=C2OC2=C1C=CC=C2)C1=CC=C(C=C1)C,-4.866424083709717,-1.3132634162902832,3.3442912101745605,3.342719078063965
C1C=CC2=C(C=1)N1C3C=C(C=CC=3B3C4C1=C2C=C1C=4N(C2C1=CC=CC=2)C1C3=CC=C(C=1)N(C1=CC=C2C(=C1)C=CC=C2)C1=CC=C2C(=C1)C=CC=C2)N(C1C=CC2=C(C=1)C=CC=C2)C1=CC=C2C(=C1)C=CC=C2,-5.346366882324219,-2.0253660678863525,3.3296046257019043,3.338505983352661
CC(C1C=CC=C(C=1)N1C(=NC2=C1C=C1N(C3C=CN=CC=3)C3=CC(=CC4=C3B(C1=C2)C1SC2=C(C=1N4C1=CC=CC(=C1)C(C)(C)C)C=CC=C2)N1C2=CC=CC=C2C2=C1C=CC=C2)C1=CC=CC2=C1C=CC=C2)(C)C,-5.01167631149292,-1.7247554063796997,3.258049964904785,3.2590630054473877
CC(C1C=CC(=CC=1)N1C2=CC(=CC=C2B2C3=C1C=CC=C3N(C1=C2C=CC(=C1)N(C1C=CC(=CC=1)C(C)(C)C)C1=CC=C(C=C1)C(C)(C)C)C1C=CC(=CC=1)C(C)(C)C)C1=CC=C2C(=C1)C1=CC3=CC=CC=C3C=C1O2)(C)C,-4.825512409210205,-1.5208091735839844,3.319059133529663,3.3146674633026123
CC1=CC=C2C(=C1)B1C3C(N2C2=CC=C4C(=C2)C2C=CC=CC=2S4)=CC(=CC=3N(C2=C1SC1C2=CC=C(C=1)N(C1C=CC=CC=1)C1=CC=CC=C1)C1=CC=CC(=C1)C(C)(C)C)N(C1C=CC=CC=1)C1=CC=CC=C1,-4.761153697967529,-1.4764385223388672,3.3955278396606445,3.3905069828033447
CC1C=CC2=C(C=1)B1C3SC4=C(C=3N(C3C1=C(N2C1=CC=CC2=C1C=CC=C2)C=C(C=3)N(C1=CC=CC=C1)C1C=CC=CC=1)C1C=CC=C(C=1)C(C)(C)C)C(=CC=C4)N(C1=CC=CC=C1)C1=CC=CC=C1,-4.973877429962158,-1.7694768905639648,2.911318302154541,2.905644655227661
C1C=CC(=CC=1)N(C1C=CC2=C(C=1)N1C3=CC=CC=C3C3C1=C1B2C2C=CC(=NC=2N2C1=C(C=3)C1=C2C=CC=C1)N(C1=CC=CC=C1)C1C=CC=CC=1)C1=CC=CC=C1,-5.339898586273193,-1.9215933084487915,3.428544759750366,3.4297571182250977
CCC(C1=CC2B3C4C(N5C=2C(=C1)C1=CC(=CC=C51)C(CC)(C)C)=CC=CC=4N1C2C3=CC(=CC=2C2C1=CC=C(C=2)C(CC)(C)C)C(CC)(C)C)(C)C,-5.347660541534424,-2.0534372329711914,3.212972640991211,3.212390899658203
CC(C1C=CC2=C(C=1)C1=CC(=CC=C1N2C1=CC2=C3C(=C1)N1C4C=CC(=CC=4C4C1=C(B3C1C3N2C2=CC=C(C=C2C=3C=C(C=1)C(C)(C)C)C(C)(C)C)C=C(C=4)C(C)(C)C)C(C)(C)C)C(C)(C)C)(C)C,-5.413151264190674,-2.1318554878234863,3.2050740718841553,3.204920768737793
CC(C1C=CC=C(C=1)N1C2C=C(C=CC=2B2C3C1=CC=CC=3N(C1=C2SC2=C1C=C(C=C2)N(C1C=CC=CC=1)C1C=CC=CC=1)C1=CC=CC2=C1C1C=CC=CC=1O2)N(C1=CC=CC=C1)C1=CC=CC=C1)(C)C,-4.836832046508789,-1.5479748249053955,3.367811441421509,3.3646726608276367
